Benchmark,IPC,Instructions,Cycles,Simulation Time,Blocked Read,Blocked Write,Invincible Activated,Invincible Freed,LLC LOAD Access,LLC LOAD Hit,LLC LOAD Miss,LLC PREFETCH Access,LLC PREFETCH Hit,LLC PREFETCH Miss,LLC RFO Access,LLC RFO Hit,LLC RFO Miss,LLC TOTAL Access,LLC TOTAL Hit,LLC TOTAL Miss,LLC TRANSLATION Access,LLC TRANSLATION Hit,LLC TRANSLATION Miss,LLC WRITE Access,LLC WRITE Hit,LLC WRITE Miss,cpu0_DTLB LOAD Access,cpu0_DTLB LOAD Hit,cpu0_DTLB LOAD Miss,cpu0_DTLB PREFETCH Access,cpu0_DTLB PREFETCH Hit,cpu0_DTLB PREFETCH Miss,cpu0_DTLB RFO Access,cpu0_DTLB RFO Hit,cpu0_DTLB RFO Miss,cpu0_DTLB TOTAL Access,cpu0_DTLB TOTAL Hit,cpu0_DTLB TOTAL Miss,cpu0_DTLB TRANSLATION Access,cpu0_DTLB TRANSLATION Hit,cpu0_DTLB TRANSLATION Miss,cpu0_DTLB WRITE Access,cpu0_DTLB WRITE Hit,cpu0_DTLB WRITE Miss,cpu0_ITLB LOAD Access,cpu0_ITLB LOAD Hit,cpu0_ITLB LOAD Miss,cpu0_ITLB PREFETCH Access,cpu0_ITLB PREFETCH Hit,cpu0_ITLB PREFETCH Miss,cpu0_ITLB RFO Access,cpu0_ITLB RFO Hit,cpu0_ITLB RFO Miss,cpu0_ITLB TOTAL Access,cpu0_ITLB TOTAL Hit,cpu0_ITLB TOTAL Miss,cpu0_ITLB TRANSLATION Access,cpu0_ITLB TRANSLATION Hit,cpu0_ITLB TRANSLATION Miss,cpu0_ITLB WRITE Access,cpu0_ITLB WRITE Hit,cpu0_ITLB WRITE Miss,cpu0_L1D LOAD Access,cpu0_L1D LOAD Hit,cpu0_L1D LOAD Miss,cpu0_L1D PREFETCH Access,cpu0_L1D PREFETCH Hit,cpu0_L1D PREFETCH Miss,cpu0_L1D RFO Access,cpu0_L1D RFO Hit,cpu0_L1D RFO Miss,cpu0_L1D TOTAL Access,cpu0_L1D TOTAL Hit,cpu0_L1D TOTAL Miss,cpu0_L1D TRANSLATION Access,cpu0_L1D TRANSLATION Hit,cpu0_L1D TRANSLATION Miss,cpu0_L1D WRITE Access,cpu0_L1D WRITE Hit,cpu0_L1D WRITE Miss,cpu0_L1I LOAD Access,cpu0_L1I LOAD Hit,cpu0_L1I LOAD Miss,cpu0_L1I PREFETCH Access,cpu0_L1I PREFETCH Hit,cpu0_L1I PREFETCH Miss,cpu0_L1I RFO Access,cpu0_L1I RFO Hit,cpu0_L1I RFO Miss,cpu0_L1I TOTAL Access,cpu0_L1I TOTAL Hit,cpu0_L1I TOTAL Miss,cpu0_L1I TRANSLATION Access,cpu0_L1I TRANSLATION Hit,cpu0_L1I TRANSLATION Miss,cpu0_L1I WRITE Access,cpu0_L1I WRITE Hit,cpu0_L1I WRITE Miss,cpu0_L2C LOAD Access,cpu0_L2C LOAD Hit,cpu0_L2C LOAD Miss,cpu0_L2C PREFETCH Access,cpu0_L2C PREFETCH Hit,cpu0_L2C PREFETCH Miss,cpu0_L2C RFO Access,cpu0_L2C RFO Hit,cpu0_L2C RFO Miss,cpu0_L2C TOTAL Access,cpu0_L2C TOTAL Hit,cpu0_L2C TOTAL Miss,cpu0_L2C TRANSLATION Access,cpu0_L2C TRANSLATION Hit,cpu0_L2C TRANSLATION Miss,cpu0_L2C WRITE Access,cpu0_L2C WRITE Hit,cpu0_L2C WRITE Miss,cpu0_STLB LOAD Access,cpu0_STLB LOAD Hit,cpu0_STLB LOAD Miss,cpu0_STLB PREFETCH Access,cpu0_STLB PREFETCH Hit,cpu0_STLB PREFETCH Miss,cpu0_STLB RFO Access,cpu0_STLB RFO Hit,cpu0_STLB RFO Miss,cpu0_STLB TOTAL Access,cpu0_STLB TOTAL Hit,cpu0_STLB TOTAL Miss,cpu0_STLB TRANSLATION Access,cpu0_STLB TRANSLATION Hit,cpu0_STLB TRANSLATION Miss,cpu0_STLB WRITE Access,cpu0_STLB WRITE Hit,cpu0_STLB WRITE Miss
600.perlbench_s-210B.champsimtrace.txt,2.824,200000002,70822239,03 hr 33 min 52 sec,0,0,287,285,10636,1440,9196,0,0,0,1178,91,1087,12859,2393,10466,276,93,183,769,769,0,31752469,31711330,41139,0,0,0,0,0,0,31752469,31711330,41139,0,0,0,0,0,0,1323273,1321535,1738,0,0,0,0,0,0,1323273,1321535,1738,0,0,0,0,0,0,24774774,24753109,21665,0,0,0,0,0,0,66600630,66570944,29686,633,126,507,41825223,41817709,7514,1483363,1475460,7903,0,0,0,0,0,0,1483363,1475460,7903,0,0,0,0,0,0,16498,5862,10636,0,0,0,1226,48,1178,19035,6945,12090,507,231,276,804,804,0,36746,36132,614,0,0,0,0,0,0,36746,36132,614,0,0,0,0,0,0
603.bwaves_s-3699B.champsimtrace.txt,1.895,200000001,105529613,05 hr 10 min 13 sec,0,0,30343,30342,6201,864,5337,0,0,0,25235,251,24984,49861,19516,30345,34,10,24,18391,18391,0,26124100,26122156,1944,0,0,0,0,0,0,26124100,26122156,1944,0,0,0,0,0,0,722934,722886,48,0,0,0,0,0,0,722934,722886,48,0,0,0,0,0,0,42960248,42946596,13652,0,0,0,0,0,0,50868603,50681172,187431,485,451,34,7907870,7734125,173745,828154,826745,1409,0,0,0,0,0,0,828154,826745,1409,0,0,0,0,0,0,6201,0,6201,0,0,0,25285,50,25235,54806,23336,31470,34,0,34,23286,23286,0,522,37,485,0,0,0,0,0,0,522,37,485,0,0,0,0,0,0
602.gcc_s-734B.champsimtrace.txt,0.6494,200000003,307970685,10 hr 05 min 16 sec,0,0,1668977,1668883,1697218,41038,1656180,0,0,0,2306,233,2073,1727218,49359,1677859,20770,1164,19606,6924,6924,0,35282106,35189398,92708,0,0,0,0,0,0,35282106,35189398,92708,0,0,0,0,0,0,782,676,106,0,0,0,0,0,0,782,676,106,0,0,0,0,0,0,42420491,38487598,3932893,0,0,0,0,0,0,65013458,61039384,3974074,45161,22825,22336,22547806,22528961,18845,834,309,525,0,0,0,0,0,0,834,309,525,0,0,0,0,0,0,2060612,363394,1697218,0,0,0,2485,179,2306,2098617,378323,1720294,22327,1557,20770,13193,13193,0,62853,21160,41693,0,0,0,0,0,0,62853,21160,41693,0,0,0,0,0,0
605.mcf_s-665B.champsimtrace.txt,0.5287,200000001,378257886,11 hr 43 min 46 sec,0,0,2162566,2153699,3741275,1521340,2219935,0,0,0,309283,240118,69165,4338715,2041409,2297306,15880,7680,8200,272277,272271,6,50060666,47068471,2992195,0,0,0,0,0,0,50060666,47068471,2992195,0,0,0,0,0,0,63404,62158,1246,0,0,0,0,0,0,63404,62158,1246,0,0,0,0,0,0,55874950,48843847,7031103,0,0,0,0,0,0,79874452,70868117,9006335,35686,17091,18595,23963816,22007179,1956637,69241,36498,32743,0,0,0,0,0,0,69241,36498,32743,0,0,0,0,0,0,5069136,1327861,3741275,0,0,0,700166,390883,309283,6645075,2578635,4066440,18592,2712,15880,857181,857179,2,2729844,2694341,35503,0,0,0,0,0,0,2729844,2694341,35503,0,0,0,0,0,0
607.cactuBSSN_s-2421B.champsimtrace.txt,1.224,200000002,163422628,07 hr 14 min 23 sec,0,0,1488452,1469921,2552728,806880,1745848,0,0,0,24822,20186,4636,2823767,1050070,1773697,31336,8149,23187,214881,214855,26,30186591,14380930,15805661,0,0,0,0,0,0,30186591,14380930,15805661,0,0,0,0,0,0,25622885,25621885,1000,0,0,0,0,0,0,25622885,25621885,1000,0,0,0,0,0,0,36549613,15738570,20811043,0,0,0,0,0,0,59438320,37470812,21967508,38430,547,37883,22850277,21731695,1118582,32550992,32297246,253746,0,0,0,0,0,0,32550992,32297246,253746,0,0,0,0,0,0,19459604,16906716,2552888,0,0,0,604979,580028,24951,21400934,18791737,2609197,37855,6519,31336,1298496,1298474,22,15086710,15062222,24488,0,0,0,0,0,0,15086710,15062222,24488,0,0,0,0,0,0
619.lbm_s-4268B.champsimtrace.txt,0.3382,200000000,591426594,15 hr 30 min 45 sec,0,0,9279216,9227908,2371684,4221,2367463,0,0,0,7892132,197572,7694560,16295619,6229095,10066524,7814,3634,4180,6023989,6023668,321,31030145,30596062,434083,0,0,0,0,0,0,31030145,30596062,434083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17892064,7966504,9925560,0,0,0,0,0,0,54819458,30239768,24579690,148219,99923,48296,36779175,22173341,14605834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371719,35,2371684,0,0,0,13231921,5339789,7892132,28360116,18088364,10271752,48296,40482,7814,12708180,12708058,122,272820,124747,148073,0,0,0,0,0,0,272820,124747,148073,0,0,0,0,0,0
620.omnetpp_s-874B.champsimtrace.txt,0.5355,200000001,373489193,10 hr 31 min 44 sec,0,0,2745642,2732554,2517438,550879,1966559,0,0,0,359561,122433,237128,4527652,1574552,2953100,828315,78930,749385,822338,822310,28,47134586,42985414,4149172,0,0,0,0,0,0,47134586,42985414,4149172,0,0,0,0,0,0,14774176,14371420,402756,0,0,0,0,0,0,14774176,14371420,402756,0,0,0,0,0,0,43427775,38847047,4580728,0,0,0,0,0,0,81238158,74254488,6983670,1229489,323089,906400,36580894,35084352,1496542,17026882,16744457,282425,0,0,0,0,0,0,17026882,16744457,282425,0,0,0,0,0,0,3212848,695410,2517438,0,0,0,470040,110479,359561,5899884,2194559,3705325,905504,77189,828315,1311492,1311481,11,4049885,3167292,882593,0,0,0,0,0,0,4049885,3167292,882593,0,0,0,0,0,0
621.wrf_s-575B.champsimtrace.txt,1.98,200000001,101017415,04 hr 15 min 16 sec,0,0,113833,113106,57611,9219,48392,0,0,0,103503,8538,94965,241143,97131,144012,823,172,651,79206,79202,4,24763727,24445862,317865,0,0,0,0,0,0,24763727,24445862,317865,0,0,0,0,0,0,2736366,2736153,213,0,0,0,0,0,0,2736366,2736153,213,0,0,0,0,0,0,28711153,28526025,185128,0,0,0,0,0,0,40669708,40042493,627215,2583,714,1869,11955972,11515754,440218,3352341,2618849,733492,0,0,0,0,0,0,3352341,2618849,733492,0,0,0,0,0,0,604943,547332,57611,0,0,0,133321,29818,103503,862978,701040,161938,1482,659,823,123232,123231,1,274400,271769,2631,0,0,0,0,0,0,274400,271769,2631,0,0,0,0,0,0
623.xalancbmk_s-700B.champsimtrace.txt,1.615,200000004,123849154,05 hr 41 min 49 sec,0,0,402024,401662,496525,379966,116559,0,0,0,296513,20037,276476,862511,454540,407971,37528,22593,14935,31945,31944,1,37376341,31367662,6008679,0,0,0,0,0,0,37376341,31367662,6008679,0,0,0,0,0,0,5761446,5619436,142010,0,0,0,0,0,0,5761446,5619436,142010,0,0,0,0,0,0,48989430,35895009,13094421,0,0,0,0,0,0,62160202,47474598,14685604,304570,21258,283312,12866202,11558331,1307871,6580430,5950967,629463,0,0,0,0,0,0,6580430,5950967,629463,0,0,0,0,0,0,8167746,7671221,496525,0,0,0,333824,37311,296513,8975370,8144803,830567,283209,245681,37528,190591,190590,1,4853479,4550123,303356,0,0,0,0,0,0,4853479,4550123,303356,0,0,0,0,0,0
625.x264_s-18B.champsimtrace.txt,2.891,200000001,69178038,04 hr 38 min 38 sec,0,0,212117,211392,143486,12179,131307,0,0,0,89598,552,89046,302301,81430,220871,1054,539,515,68163,68160,3,21725921,21430162,295759,0,0,0,0,0,0,21725921,21430162,295759,0,0,0,0,0,0,2840558,2837544,3014,0,0,0,0,0,0,2840558,2837544,3014,0,0,0,0,0,0,29213507,28812930,400577,0,0,0,0,0,0,42839945,41851278,988667,3177,1691,1486,13623261,13036657,586604,3440314,1499180,1941134,0,0,0,0,0,0,3440314,1499180,1941134,0,0,0,0,0,0,1416785,1273299,143486,0,0,0,97590,7992,89598,1620000,1385862,234138,1446,392,1054,104179,104179,0,200011,196842,3169,0,0,0,0,0,0,200011,196842,3169,0,0,0,0,0,0
627.cam4_s-573B.champsimtrace.txt,1.958,200000002,102138943,04 hr 55 min 40 sec,0,0,904522,896403,123948,43471,80477,0,0,0,968589,18621,949968,1830844,798068,1032776,2565,266,2299,735742,735710,32,27908122,27605473,302649,0,0,0,0,0,0,27908122,27605473,302649,0,0,0,0,0,0,4674802,4669372,5430,0,0,0,0,0,0,4674802,4669372,5430,0,0,0,0,0,0,25885506,25167714,717792,0,0,0,0,0,0,46628936,41617784,5011152,18230,15051,3179,20725200,16435019,4290181,5690241,5565984,124257,0,0,0,0,0,0,5690241,5565984,124257,0,0,0,0,0,0,424918,300970,123948,0,0,0,1056591,88002,968589,2506824,1411712,1095112,3148,583,2565,1022167,1022157,10,126852,108854,17998,0,0,0,0,0,0,126852,108854,17998,0,0,0,0,0,0
628.pop2_s-17B.champsimtrace.txt,2.228,200000000,89753291,03 hr 59 min 06 sec,0,0,772210,768496,953119,405910,547209,0,0,0,430801,152454,278347,1746789,915958,830831,6805,1540,5265,356064,356054,10,27691871,27441865,250006,0,0,0,0,0,0,27691871,27441865,250006,0,0,0,0,0,0,464742,452088,12654,0,0,0,0,0,0,464742,452088,12654,0,0,0,0,0,0,30612824,26127361,4485463,0,0,0,0,0,0,44175476,36423720,7751756,11960,3428,8532,13550692,10292931,3257761,562491,342042,220449,0,0,0,0,0,0,562491,342042,220449,0,0,0,0,0,0,1537845,584726,953119,0,0,0,790206,359405,430801,2988853,1598126,1390727,8292,1487,6805,652510,652508,2,102888,93106,9782,0,0,0,0,0,0,102888,93106,9782,0,0,0,0,0,0
631.deepsjeng_s-928B.champsimtrace.txt,1.497,200000002,133576454,06 hr 09 min 04 sec,0,0,111813,111796,71310,11155,60155,0,0,0,5451,2898,2553,158136,45400,112736,52653,2626,50027,28722,28721,1,33971770,33830616,141154,0,0,0,0,0,0,33971770,33830616,141154,0,0,0,0,0,0,13275652,13274457,1195,0,0,0,0,0,0,13275652,13274457,1195,0,0,0,0,0,0,37248265,37005396,242869,0,0,0,0,0,0,61153359,60787077,366282,73320,9927,63393,23831774,23771754,60020,16217910,15968164,249746,0,0,0,0,0,0,16217910,15968164,249746,0,0,0,0,0,0,272858,201548,71310,0,0,0,17940,12489,5451,395798,266384,129414,63245,10592,52653,41755,41755,0,51163,15174,35989,0,0,0,0,0,0,51163,15174,35989,0,0,0,0,0,0
638.imagick_s-10316B.champsimtrace.txt,3.861,200000004,51794702,03 hr 00 min 51 sec,0,0,0,0,7745,4,7741,0,0,0,70,0,70,7896,85,7811,2,2,0,79,79,0,22296491,22026816,269675,0,0,0,0,0,0,22296491,22026816,269675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34299675,25304323,8995352,0,0,0,0,0,0,34309615,25311339,8998276,124,0,124,9816,7016,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778796,1771051,7745,0,0,0,1186,1116,70,1782937,1775120,7817,124,122,2,2831,2831,0,92876,92752,124,0,0,0,0,0,0,92876,92752,124,0,0,0,0,0,0
641.leela_s-800B.champsimtrace.txt,1.586,200000004,126087836,05 hr 30 min 43 sec,0,0,2094,2102,3537,1846,1691,0,0,0,937,568,369,5210,3104,2106,63,17,46,673,673,0,34977441,34882425,95016,0,0,0,0,0,0,34977441,34882425,95016,0,0,0,0,0,0,8478292,8478290,2,0,0,0,0,0,0,8478292,8478290,2,0,0,0,0,0,0,37927686,37680359,247327,0,0,0,0,0,0,60984620,60696017,288603,100,0,100,23056834,23015658,41176,9528083,9508896,19187,0,0,0,0,0,0,9528083,9508896,19187,0,0,0,0,0,0,182688,179151,3537,0,0,0,9861,8924,937,205311,200774,4537,100,37,63,12662,12662,0,79605,79505,100,0,0,0,0,0,0,79605,79505,100,0,0,0,0,0,0
644.nab_s-5853B.champsimtrace.txt,2.396,200000000,83480284,04 hr 49 min 08 sec,0,0,42589,42581,45357,3007,42350,0,0,0,149,104,45,47434,4469,42965,648,78,570,1280,1280,0,33766655,33644276,122379,0,0,0,0,0,0,33766655,33644276,122379,0,0,0,0,0,0,2354,2324,30,0,0,0,0,0,0,2354,2324,30,0,0,0,0,0,0,39517736,39097213,420523,0,0,0,0,0,0,61593269,61169007,424262,1667,408,1259,22073866,22071386,2480,2746,1951,795,0,0,0,0,0,0,2746,1951,795,0,0,0,0,0,0,416761,371404,45357,0,0,0,754,605,149,575526,529372,46154,1259,611,648,156752,156752,0,119916,118270,1646,0,0,0,0,0,0,119916,118270,1646,0,0,0,0,0,0
648.exchange2_s-1699B.champsimtrace.txt,1.621,200000000,123368945,02 hr 45 min 57 sec,0,0,0,0,133,0,133,0,0,0,17,0,17,150,0,150,0,0,0,0,0,0,34673998,34673998,0,0,0,0,0,0,0,34673998,34673998,0,0,0,0,0,0,0,10116157,10116157,0,0,0,0,0,0,0,10116157,10116157,0,0,0,0,0,0,0,35671417,35671400,17,0,0,0,0,0,0,70836380,70836187,193,0,0,0,35164963,35164787,176,12352774,12349040,3734,0,0,0,0,0,0,12352774,12349040,3734,0,0,0,0,0,0,2190,2057,133,0,0,0,17,0,17,2207,2057,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649.fotonik3d_s-1176B.champsimtrace.txt,1.915,200000001,104444004,04 hr 53 min 34 sec,0,0,1789964,1787015,1838488,55,1838433,0,0,0,882,3,879,3195327,1355593,1839734,368,3,365,1355589,1355532,57,22902038,22621149,280889,0,0,0,0,0,0,22902038,22621149,280889,0,0,0,0,0,0,2823,2787,36,0,0,0,0,0,0,2823,2787,36,0,0,0,0,0,0,38159125,29643407,8515718,0,0,0,0,0,0,52338207,43800499,8537708,27142,25962,1180,14151940,14131130,20810,3220,2772,448,0,0,0,0,0,0,3220,2772,448,0,0,0,0,0,0,2599705,761216,1838489,0,0,0,5354,4472,882,4230667,2390917,1839750,1168,800,368,1624440,1624429,11,46055,19027,27028,0,0,0,0,0,0,46055,19027,27028,0,0,0,0,0,0
654.roms_s-842B.champsimtrace.txt,1.377,200000002,145203241,05 hr 37 min 07 sec,0,0,18361,18374,13197,471,12726,0,0,0,8653,219,8434,28255,7049,21206,60,14,46,6345,6345,0,26285867,26283252,2615,0,0,0,0,0,0,26285867,26283252,2615,0,0,0,0,0,0,2146602,2146602,0,0,0,0,0,0,0,2146602,2146602,0,0,0,0,0,0,0,26845515,26828865,16650,0,0,0,0,0,0,41519225,41491630,27595,454,394,60,14673256,14662371,10885,2437657,2437237,420,0,0,0,0,0,0,2437657,2437237,420,0,0,0,0,0,0,13236,39,13197,0,0,0,8783,130,8653,29865,7955,21910,60,0,60,7786,7786,0,479,26,453,0,0,0,0,0,0,479,26,453,0,0,0,0,0,0
657.xz_s-3167B.champsimtrace.txt,1.58,200000002,126606934,05 hr 42 min 47 sec,0,0,257131,256865,305256,115881,189375,0,0,0,72146,8557,63589,575214,312012,263202,31431,21196,10235,166381,166378,3,30008825,28984074,1024751,0,0,0,0,0,0,30008825,28984074,1024751,0,0,0,0,0,0,1444793,1441765,3028,0,0,0,0,0,0,1444793,1441765,3028,0,0,0,0,0,0,39646571,38785092,861479,0,0,0,0,0,0,53030525,51771153,1259372,103216,19139,84077,13280738,12966922,313816,1669308,1642538,26770,0,0,0,0,0,0,1669308,1642538,26770,0,0,0,0,0,0,515031,209775,305256,0,0,0,162252,90106,72146,1173677,764843,408834,84022,52591,31431,412372,412371,1,942163,838950,103213,0,0,0,0,0,0,942163,838950,103213,0,0,0,0,0,0
