Benchmark,IPC,Instructions,Cycles,Simulation Time,Blocked Read,Blocked Write,Invincible Activated,Invincible Freed,LLC LOAD Access,LLC LOAD Hit,LLC LOAD Miss,LLC PREFETCH Access,LLC PREFETCH Hit,LLC PREFETCH Miss,LLC RFO Access,LLC RFO Hit,LLC RFO Miss,LLC TOTAL Access,LLC TOTAL Hit,LLC TOTAL Miss,LLC TRANSLATION Access,LLC TRANSLATION Hit,LLC TRANSLATION Miss,LLC WRITE Access,LLC WRITE Hit,LLC WRITE Miss,cpu0_DTLB LOAD Access,cpu0_DTLB LOAD Hit,cpu0_DTLB LOAD Miss,cpu0_DTLB PREFETCH Access,cpu0_DTLB PREFETCH Hit,cpu0_DTLB PREFETCH Miss,cpu0_DTLB RFO Access,cpu0_DTLB RFO Hit,cpu0_DTLB RFO Miss,cpu0_DTLB TOTAL Access,cpu0_DTLB TOTAL Hit,cpu0_DTLB TOTAL Miss,cpu0_DTLB TRANSLATION Access,cpu0_DTLB TRANSLATION Hit,cpu0_DTLB TRANSLATION Miss,cpu0_DTLB WRITE Access,cpu0_DTLB WRITE Hit,cpu0_DTLB WRITE Miss,cpu0_ITLB LOAD Access,cpu0_ITLB LOAD Hit,cpu0_ITLB LOAD Miss,cpu0_ITLB PREFETCH Access,cpu0_ITLB PREFETCH Hit,cpu0_ITLB PREFETCH Miss,cpu0_ITLB RFO Access,cpu0_ITLB RFO Hit,cpu0_ITLB RFO Miss,cpu0_ITLB TOTAL Access,cpu0_ITLB TOTAL Hit,cpu0_ITLB TOTAL Miss,cpu0_ITLB TRANSLATION Access,cpu0_ITLB TRANSLATION Hit,cpu0_ITLB TRANSLATION Miss,cpu0_ITLB WRITE Access,cpu0_ITLB WRITE Hit,cpu0_ITLB WRITE Miss,cpu0_L1D LOAD Access,cpu0_L1D LOAD Hit,cpu0_L1D LOAD Miss,cpu0_L1D PREFETCH Access,cpu0_L1D PREFETCH Hit,cpu0_L1D PREFETCH Miss,cpu0_L1D RFO Access,cpu0_L1D RFO Hit,cpu0_L1D RFO Miss,cpu0_L1D TOTAL Access,cpu0_L1D TOTAL Hit,cpu0_L1D TOTAL Miss,cpu0_L1D TRANSLATION Access,cpu0_L1D TRANSLATION Hit,cpu0_L1D TRANSLATION Miss,cpu0_L1D WRITE Access,cpu0_L1D WRITE Hit,cpu0_L1D WRITE Miss,cpu0_L1I LOAD Access,cpu0_L1I LOAD Hit,cpu0_L1I LOAD Miss,cpu0_L1I PREFETCH Access,cpu0_L1I PREFETCH Hit,cpu0_L1I PREFETCH Miss,cpu0_L1I RFO Access,cpu0_L1I RFO Hit,cpu0_L1I RFO Miss,cpu0_L1I TOTAL Access,cpu0_L1I TOTAL Hit,cpu0_L1I TOTAL Miss,cpu0_L1I TRANSLATION Access,cpu0_L1I TRANSLATION Hit,cpu0_L1I TRANSLATION Miss,cpu0_L1I WRITE Access,cpu0_L1I WRITE Hit,cpu0_L1I WRITE Miss,cpu0_L2C LOAD Access,cpu0_L2C LOAD Hit,cpu0_L2C LOAD Miss,cpu0_L2C PREFETCH Access,cpu0_L2C PREFETCH Hit,cpu0_L2C PREFETCH Miss,cpu0_L2C RFO Access,cpu0_L2C RFO Hit,cpu0_L2C RFO Miss,cpu0_L2C TOTAL Access,cpu0_L2C TOTAL Hit,cpu0_L2C TOTAL Miss,cpu0_L2C TRANSLATION Access,cpu0_L2C TRANSLATION Hit,cpu0_L2C TRANSLATION Miss,cpu0_L2C WRITE Access,cpu0_L2C WRITE Hit,cpu0_L2C WRITE Miss,cpu0_STLB LOAD Access,cpu0_STLB LOAD Hit,cpu0_STLB LOAD Miss,cpu0_STLB PREFETCH Access,cpu0_STLB PREFETCH Hit,cpu0_STLB PREFETCH Miss,cpu0_STLB RFO Access,cpu0_STLB RFO Hit,cpu0_STLB RFO Miss,cpu0_STLB TOTAL Access,cpu0_STLB TOTAL Hit,cpu0_STLB TOTAL Miss,cpu0_STLB TRANSLATION Access,cpu0_STLB TRANSLATION Hit,cpu0_STLB TRANSLATION Miss,cpu0_STLB WRITE Access,cpu0_STLB WRITE Hit,cpu0_STLB WRITE Miss
600.perlbench_s-210B.champsimtrace.txt,2.824,200000002,70821707,02 hr 49 min 47 sec,0,0,266,219,10634,1444,9190,0,0,0,1178,91,1087,12860,2400,10460,277,94,183,771,771,0,31752437,31711298,41139,0,0,0,0,0,0,31752437,31711298,41139,0,0,0,0,0,0,1323280,1321541,1739,0,0,0,0,0,0,1323280,1321541,1739,0,0,0,0,0,0,24774749,24753085,21664,0,0,0,0,0,0,66600593,66570900,29693,633,126,507,41825211,41817689,7522,1483371,1475457,7914,0,0,0,0,0,0,1483371,1475457,7914,0,0,0,0,0,0,16503,5869,10634,0,0,0,1226,48,1178,19039,6950,12089,507,230,277,803,803,0,36745,36131,614,0,0,0,0,0,0,36745,36131,614,0,0,0,0,0,0
649.fotonik3d_s-1176B.champsimtrace.txt,1.119,200000001,178744611,01 hr 42 min 42 sec,0,0,273482,169494,1833492,120,1833372,0,0,0,555,5,550,3524721,1690451,1834270,351,5,346,1690323,1690321,2,22297012,22114318,182694,0,0,0,0,0,0,22297012,22114318,182694,0,0,0,0,0,0,2835,2803,32,0,0,0,0,0,0,2835,2803,32,0,0,0,0,0,0,37316503,28565710,8750793,0,0,0,0,0,0,51495593,42724885,8770708,27141,25978,1163,14151949,14133197,18752,3232,2797,435,0,0,0,0,0,0,3232,2797,435,0,0,0,0,0,0,2599628,766135,1833493,0,0,0,5024,4469,555,4328771,2494372,1834399,1152,801,351,1722967,1722967,0,46048,19020,27028,0,0,0,0,0,0,46048,19020,27028,0,0,0,0,0,0
605.mcf_s-665B.champsimtrace.txt,0.595,200000001,336162372,03 hr 22 min 23 sec,0,0,383220,289675,3713683,1921358,1792325,0,0,0,312265,298015,14250,4362326,2549905,1812421,15848,10002,5846,320530,320530,0,50033495,47056049,2977446,0,0,0,0,0,0,50033495,47056049,2977446,0,0,0,0,0,0,63294,62052,1242,0,0,0,0,0,0,63294,62052,1242,0,0,0,0,0,0,55907164,48901992,7005172,0,0,0,0,0,0,79907149,70933796,8973353,35699,17016,18683,23964286,22014788,1949498,69115,36280,32835,0,0,0,0,0,0,69115,36280,32835,0,0,0,0,0,0,5058187,1344501,3713686,0,0,0,699051,386786,312265,6645755,2603954,4041801,18681,2833,15848,869836,869834,2,2720943,2685429,35514,0,0,0,0,0,0,2720943,2685429,35514,0,0,0,0,0,0
607.cactuBSSN_s-2421B.champsimtrace.txt,1.298,200000002,154086039,01 hr 40 min 54 sec,0,0,231767,142477,2584063,1031342,1552721,0,0,0,29826,29105,721,2886115,1313058,1573057,30969,11354,19615,241257,241257,0,29872685,14108140,15764545,0,0,0,0,0,0,29872685,14108140,15764545,0,0,0,0,0,0,25868513,25867492,1021,0,0,0,0,0,0,25868513,25867492,1021,0,0,0,0,0,0,36195220,15468293,20726927,0,0,0,0,0,0,59083905,37226513,21857392,38408,520,37888,22850277,21757700,1092577,32761585,32490929,270656,0,0,0,0,0,0,32761585,32490929,270656,0,0,0,0,0,0,19483312,16899046,2584266,0,0,0,592444,562461,29983,21409664,18764445,2645219,37865,6896,30969,1296043,1296042,1,15086565,15062077,24488,0,0,0,0,0,0,15086565,15062077,24488,0,0,0,0,0,0
602.gcc_s-734B.champsimtrace.txt,0.6547,200000003,305488317,02 hr 29 min 02 sec,0,0,357551,271175,1687798,51058,1636740,0,0,0,2264,280,1984,1719289,61655,1657634,20507,1597,18910,8720,8720,0,35282262,35189580,92682,0,0,0,0,0,0,35282262,35189580,92682,0,0,0,0,0,0,780,675,105,0,0,0,0,0,0,780,675,105,0,0,0,0,0,0,42421595,38389681,4031914,0,0,0,0,0,0,65014465,60941589,4072876,45162,22945,22217,22547708,22528963,18745,833,304,529,0,0,0,0,0,0,833,304,529,0,0,0,0,0,0,2105166,417368,1687798,0,0,0,2474,210,2264,2144101,433532,1710569,22208,1701,20507,14253,14253,0,62853,21159,41694,0,0,0,0,0,0,62853,21159,41694,0,0,0,0,0,0
603.bwaves_s-3699B.champsimtrace.txt,1.894,200000001,105593134,03 hr 27 min 40 sec,0,0,28969,29121,6164,899,5265,0,0,0,25191,258,24933,50153,19928,30225,35,8,27,18763,18763,0,26124114,26122224,1890,0,0,0,0,0,0,26124114,26122224,1890,0,0,0,0,0,0,722760,722711,49,0,0,0,0,0,0,722760,722711,49,0,0,0,0,0,0,42960305,42946772,13533,0,0,0,0,0,0,50868735,50681473,187262,485,450,35,7907945,7734251,173694,827966,826490,1476,0,0,0,0,0,0,827966,826490,1476,0,0,0,0,0,0,6164,0,6164,0,0,0,25245,54,25191,54779,23389,31390,35,0,35,23335,23335,0,522,37,485,0,0,0,0,0,0,522,37,485,0,0,0,0,0,0
619.lbm_s-4268B.champsimtrace.txt,0.2203,200000000,908051893,07 hr 15 min 16 sec,0,0,1386441,845932,2371276,5047,2366229,0,0,0,7481119,341740,7139379,17213949,7705827,9508122,7213,4708,2505,7354341,7354332,9,29759478,29330635,428843,0,0,0,0,0,0,29759478,29330635,428843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16807869,7918847,8889022,0,0,0,0,0,0,53710263,30499034,23211229,148219,99999,48220,36754175,22480188,14273987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371312,36,2371276,0,0,0,13242812,5761693,7481119,28878823,19019211,9859612,48220,41007,7213,13216479,13216475,4,272820,124747,148073,0,0,0,0,0,0,272820,124747,148073,0,0,0,0,0,0
620.omnetpp_s-874B.champsimtrace.txt,0.5572,200000003,358959305,03 hr 11 min 18 sec,0,0,456344,317628,2473506,713031,1760475,0,0,0,355523,168126,187397,4652304,1979186,2673118,825696,100453,725243,997579,997576,3,47107136,42961036,4146100,0,0,0,0,0,0,47107136,42961036,4146100,0,0,0,0,0,0,14783281,14380272,403009,0,0,0,0,0,0,14783281,14380272,403009,0,0,0,0,0,0,43413888,38871503,4542385,0,0,0,0,0,0,81234194,74289494,6944700,1229581,321956,907625,36590725,35096035,1494690,17033147,16751308,281839,0,0,0,0,0,0,17033147,16751308,281839,0,0,0,0,0,0,3198014,724507,2473507,0,0,0,469427,113904,355523,5950496,2295766,3654730,906738,81042,825696,1376317,1376313,4,4049186,3166588,882598,0,0,0,0,0,0,4049186,3166588,882598,0,0,0,0,0,0
621.wrf_s-575B.champsimtrace.txt,1.895,200000001,105553988,02 hr 35 min 13 sec,0,0,23306,15099,55871,9899,45972,0,0,0,101457,9779,91678,252608,114346,138262,797,185,612,94483,94483,0,24748464,24431298,317166,0,0,0,0,0,0,24748464,24431298,317166,0,0,0,0,0,0,2736280,2736068,212,0,0,0,0,0,0,2736280,2736068,212,0,0,0,0,0,0,28696759,28515957,180802,0,0,0,0,0,0,40655318,39982511,672807,2597,681,1916,11955962,11465873,490089,3352265,2618665,733600,0,0,0,0,0,0,3352265,2618665,733600,0,0,0,0,0,0,604347,548476,55871,0,0,0,131211,29754,101457,863581,705456,158125,1482,685,797,126541,126541,0,274411,271780,2631,0,0,0,0,0,0,274411,271780,2631,0,0,0,0,0,0
623.xalancbmk_s-700B.champsimtrace.txt,1.658,200000003,120633620,02 hr 00 min 59 sec,0,0,104251,87972,487939,402393,85546,0,0,0,295753,19407,276346,852924,478789,374135,34905,22662,12243,34327,34327,0,37343045,31331912,6011133,0,0,0,0,0,0,37343045,31331912,6011133,0,0,0,0,0,0,5759446,5617454,141992,0,0,0,0,0,0,5759446,5617454,141992,0,0,0,0,0,0,48941439,35897631,13043808,0,0,0,0,0,0,62118042,47480015,14638027,304784,21008,283776,12871819,11561376,1310443,6578384,5952309,626075,0,0,0,0,0,0,6578384,5952309,626075,0,0,0,0,0,0,8155978,7668039,487939,0,0,0,333316,37563,295753,8965138,8146541,818597,283677,248772,34905,192167,192167,0,4853434,4549865,303569,0,0,0,0,0,0,4853434,4549865,303569,0,0,0,0,0,0
