Benchmark,IPC,Instructions,Cycles,Simulation Time,Blocked Read,Blocked Write,Invincible Activated,Invincible Freed,LLC LOAD Access,LLC LOAD Hit,LLC LOAD Miss,LLC PREFETCH Access,LLC PREFETCH Hit,LLC PREFETCH Miss,LLC RFO Access,LLC RFO Hit,LLC RFO Miss,LLC TOTAL Access,LLC TOTAL Hit,LLC TOTAL Miss,LLC TRANSLATION Access,LLC TRANSLATION Hit,LLC TRANSLATION Miss,LLC WRITE Access,LLC WRITE Hit,LLC WRITE Miss,cpu0_DTLB LOAD Access,cpu0_DTLB LOAD Hit,cpu0_DTLB LOAD Miss,cpu0_DTLB PREFETCH Access,cpu0_DTLB PREFETCH Hit,cpu0_DTLB PREFETCH Miss,cpu0_DTLB RFO Access,cpu0_DTLB RFO Hit,cpu0_DTLB RFO Miss,cpu0_DTLB TOTAL Access,cpu0_DTLB TOTAL Hit,cpu0_DTLB TOTAL Miss,cpu0_DTLB TRANSLATION Access,cpu0_DTLB TRANSLATION Hit,cpu0_DTLB TRANSLATION Miss,cpu0_DTLB WRITE Access,cpu0_DTLB WRITE Hit,cpu0_DTLB WRITE Miss,cpu0_ITLB LOAD Access,cpu0_ITLB LOAD Hit,cpu0_ITLB LOAD Miss,cpu0_ITLB PREFETCH Access,cpu0_ITLB PREFETCH Hit,cpu0_ITLB PREFETCH Miss,cpu0_ITLB RFO Access,cpu0_ITLB RFO Hit,cpu0_ITLB RFO Miss,cpu0_ITLB TOTAL Access,cpu0_ITLB TOTAL Hit,cpu0_ITLB TOTAL Miss,cpu0_ITLB TRANSLATION Access,cpu0_ITLB TRANSLATION Hit,cpu0_ITLB TRANSLATION Miss,cpu0_ITLB WRITE Access,cpu0_ITLB WRITE Hit,cpu0_ITLB WRITE Miss,cpu0_L1D LOAD Access,cpu0_L1D LOAD Hit,cpu0_L1D LOAD Miss,cpu0_L1D PREFETCH Access,cpu0_L1D PREFETCH Hit,cpu0_L1D PREFETCH Miss,cpu0_L1D RFO Access,cpu0_L1D RFO Hit,cpu0_L1D RFO Miss,cpu0_L1D TOTAL Access,cpu0_L1D TOTAL Hit,cpu0_L1D TOTAL Miss,cpu0_L1D TRANSLATION Access,cpu0_L1D TRANSLATION Hit,cpu0_L1D TRANSLATION Miss,cpu0_L1D WRITE Access,cpu0_L1D WRITE Hit,cpu0_L1D WRITE Miss,cpu0_L1I LOAD Access,cpu0_L1I LOAD Hit,cpu0_L1I LOAD Miss,cpu0_L1I PREFETCH Access,cpu0_L1I PREFETCH Hit,cpu0_L1I PREFETCH Miss,cpu0_L1I RFO Access,cpu0_L1I RFO Hit,cpu0_L1I RFO Miss,cpu0_L1I TOTAL Access,cpu0_L1I TOTAL Hit,cpu0_L1I TOTAL Miss,cpu0_L1I TRANSLATION Access,cpu0_L1I TRANSLATION Hit,cpu0_L1I TRANSLATION Miss,cpu0_L1I WRITE Access,cpu0_L1I WRITE Hit,cpu0_L1I WRITE Miss,cpu0_L2C LOAD Access,cpu0_L2C LOAD Hit,cpu0_L2C LOAD Miss,cpu0_L2C PREFETCH Access,cpu0_L2C PREFETCH Hit,cpu0_L2C PREFETCH Miss,cpu0_L2C RFO Access,cpu0_L2C RFO Hit,cpu0_L2C RFO Miss,cpu0_L2C TOTAL Access,cpu0_L2C TOTAL Hit,cpu0_L2C TOTAL Miss,cpu0_L2C TRANSLATION Access,cpu0_L2C TRANSLATION Hit,cpu0_L2C TRANSLATION Miss,cpu0_L2C WRITE Access,cpu0_L2C WRITE Hit,cpu0_L2C WRITE Miss,cpu0_STLB LOAD Access,cpu0_STLB LOAD Hit,cpu0_STLB LOAD Miss,cpu0_STLB PREFETCH Access,cpu0_STLB PREFETCH Hit,cpu0_STLB PREFETCH Miss,cpu0_STLB RFO Access,cpu0_STLB RFO Hit,cpu0_STLB RFO Miss,cpu0_STLB TOTAL Access,cpu0_STLB TOTAL Hit,cpu0_STLB TOTAL Miss,cpu0_STLB TRANSLATION Access,cpu0_STLB TRANSLATION Hit,cpu0_STLB TRANSLATION Miss,cpu0_STLB WRITE Access,cpu0_STLB WRITE Hit,cpu0_STLB WRITE Miss
649.fotonik3d_s-1176B.champsimtrace.txt,1.119,200000001,178713504,02 hr 00 min 14 sec,0,0,273461,169675,1838432,4931,1833501,0,0,0,567,1,566,3530059,1695610,1834449,385,5,380,1690675,1690673,2,22299404,22116468,182936,0,0,0,0,0,0,22299404,22116468,182936,0,0,0,0,0,0,20480003,20479213,790,0,0,0,0,0,0,20480003,20479213,790,0,0,0,0,0,0,37315395,28564195,8751200,0,0,0,0,0,0,51494505,42723421,8771084,27173,25977,1196,14151937,14133249,18688,26439570,26425902,13668,0,0,0,0,0,0,26439570,26425902,13668,0,0,0,0,0,0,2604731,766298,1838433,0,0,0,5026,4459,567,4333941,2494556,1839385,1185,800,385,1722999,1722999,0,46081,19020,27061,0,0,0,0,0,0,46081,19020,27061,0,0,0,0,0,0
657.xz_s-3167B.champsimtrace.txt,1.631,200000003,122603567,02 hr 24 min 14 sec,0,0,89871,82156,298015,137754,160261,0,0,0,70965,10125,60840,586658,360680,225978,30800,25923,4877,186878,186878,0,30052508,29027886,1024622,0,0,0,0,0,0,30052508,29027886,1024622,0,0,0,0,0,0,3505634,3502171,3463,0,0,0,0,0,0,3505634,3502171,3463,0,0,0,0,0,0,39679225,38839396,839829,0,0,0,0,0,0,53065878,51821614,1244264,103226,19025,84201,13283427,12963193,320234,4483593,4455890,27703,0,0,0,0,0,0,4483593,4455890,27703,0,0,0,0,0,0,512647,214632,298015,0,0,0,162289,91324,70965,1182560,782780,399780,84145,53345,30800,423479,423479,0,942189,838966,103223,0,0,0,0,0,0,942189,838966,103223,0,0,0,0,0,0
600.perlbench_s-210B.champsimtrace.txt,2.821,200000002,70894949,03 hr 06 min 52 sec,0,0,262,216,10627,1441,9186,0,0,0,1178,90,1088,12836,2378,10458,278,94,184,753,753,0,31832272,31790561,41711,0,0,0,0,0,0,31832272,31790561,41711,0,0,0,0,0,0,3591034,3589291,1743,0,0,0,0,0,0,3591034,3589291,1743,0,0,0,0,0,0,24821955,24800231,21724,0,0,0,0,0,0,66614732,66584994,29738,633,124,509,41792144,41784639,7505,4710551,4702967,7584,0,0,0,0,0,0,4710551,4702967,7584,0,0,0,0,0,0,16267,5640,10627,0,0,0,1225,47,1178,18812,6729,12083,509,231,278,811,811,0,36735,36121,614,0,0,0,0,0,0,36735,36121,614,0,0,0,0,0,0
602.gcc_s-734B.champsimtrace.txt,0.6555,200000001,305106790,02 hr 53 min 07 sec,0,0,357260,270784,1691415,55251,1636164,0,0,0,2247,266,1981,1722932,65864,1657068,20563,1640,18923,8707,8707,0,35281948,35189200,92748,0,0,0,0,0,0,35281948,35189200,92748,0,0,0,0,0,0,140021,139795,226,0,0,0,0,0,0,140021,139795,226,0,0,0,0,0,0,42421354,38460559,3960795,0,0,0,0,0,0,65014348,61012617,4001731,45181,22958,22223,22547813,22529100,18713,187984,186708,1276,0,0,0,0,0,0,187984,186708,1276,0,0,0,0,0,0,2073896,382481,1691415,0,0,0,2439,192,2247,2109995,395770,1714225,22215,1652,20563,11445,11445,0,62869,21165,41704,0,0,0,0,0,0,62869,21165,41704,0,0,0,0,0,0
603.bwaves_s-3699B.champsimtrace.txt,1.893,200000001,105645631,03 hr 03 min 05 sec,0,0,28886,29107,6180,909,5271,0,0,0,25186,278,24908,50208,20011,30197,29,11,18,18813,18813,0,26130663,26128751,1912,0,0,0,0,0,0,26130663,26128751,1912,0,0,0,0,0,0,1664668,1664578,90,0,0,0,0,0,0,1664668,1664578,90,0,0,0,0,0,0,42967880,42954389,13491,0,0,0,0,0,0,50878220,50691116,187104,485,454,31,7909855,7736273,173582,2115070,2113560,1510,0,0,0,0,0,0,2115070,2113560,1510,0,0,0,0,0,0,6180,0,6180,0,0,0,25243,57,25186,54866,23471,31395,31,2,29,23412,23412,0,522,37,485,0,0,0,0,0,0,522,37,485,0,0,0,0,0,0
605.mcf_s-665B.champsimtrace.txt,0.5949,200000001,336167938,03 hr 04 min 57 sec,0,0,384076,289644,3714866,1923508,1791358,0,0,0,314326,300154,14172,4364498,2552921,1811577,15907,9861,6046,319399,319398,1,50034324,47057134,2977190,0,0,0,0,0,0,50034324,47057134,2977190,0,0,0,0,0,0,332193,330339,1854,0,0,0,0,0,0,332193,330339,1854,0,0,0,0,0,0,55908918,48897947,7010971,0,0,0,0,0,0,79908777,70926002,8982775,35696,16959,18737,23964163,22011096,1953067,400041,359893,40148,0,0,0,0,0,0,400041,359893,40148,0,0,0,0,0,0,5071823,1356957,3714866,0,0,0,699892,385566,314326,6661167,2616068,4045099,18735,2828,15907,870717,870717,0,2720611,2685099,35512,0,0,0,0,0,0,2720611,2685099,35512,0,0,0,0,0,0
607.cactuBSSN_s-2421B.champsimtrace.txt,1.299,200000002,153980885,02 hr 04 min 20 sec,0,0,232277,142461,2544039,990872,1553167,0,0,0,24055,23362,693,2835145,1261640,1573505,31141,11496,19645,235910,235910,0,29863306,14099293,15764013,0,0,0,0,0,0,29863306,14099293,15764013,0,0,0,0,0,0,25933949,25932935,1014,0,0,0,0,0,0,25933949,25932935,1014,0,0,0,0,0,0,36178938,15437049,20741889,0,0,0,0,0,0,59067637,37202008,21865629,38422,526,37896,22850277,21764433,1085844,32831098,32575237,255861,0,0,0,0,0,0,32831098,32575237,255861,0,0,0,0,0,0,19495288,16951082,2544206,0,0,0,581940,557796,24144,21420837,18821344,2599493,37873,6732,31141,1305736,1305734,2,15087043,15062555,24488,0,0,0,0,0,0,15087043,15062555,24488,0,0,0,0,0,0
619.lbm_s-4268B.champsimtrace.txt,0.2202,200000000,908201949,06 hr 36 min 42 sec,0,0,1380710,846120,2443844,76426,2367418,0,0,0,7496584,356758,7139826,17317061,7807112,9509949,7470,4775,2695,7369163,7369153,10,29754967,29326197,428770,0,0,0,0,0,0,29754967,29326197,428770,0,0,0,0,0,0,19683512,19680882,2630,0,0,0,0,0,0,19683512,19680882,2630,0,0,0,0,0,0,16804279,7917775,8886504,0,0,0,0,0,0,53706500,30496201,23210299,148413,99957,48456,36753808,22478469,14275339,24905337,24783103,122234,0,0,0,0,0,0,24905337,24783103,122234,0,0,0,0,0,0,2443882,38,2443844,0,0,0,13242698,5746114,7496584,28951421,19003517,9947904,48456,40986,7470,13216385,13216379,6,273013,124746,148267,0,0,0,0,0,0,273013,124746,148267,0,0,0,0,0,0
620.omnetpp_s-874B.champsimtrace.txt,0.5541,200000003,360924604,03 hr 26 min 20 sec,0,0,457221,319100,2480527,719837,1760690,0,0,0,356050,168214,187836,4660113,1986219,2673894,827097,101731,725366,996439,996437,2,47682783,43525133,4157650,0,0,0,0,0,0,47682783,43525133,4157650,0,0,0,0,0,0,21004183,20372902,631281,0,0,0,0,0,0,21004183,20372902,631281,0,0,0,0,0,0,43772639,39136161,4636478,0,0,0,0,0,0,81618349,74561179,7057170,1230243,319303,910940,36615467,35105715,1509752,25459698,25179512,280186,0,0,0,0,0,0,25459698,25179512,280186,0,0,0,0,0,0,3198191,717664,2480527,0,0,0,469656,113606,356050,5947923,2284248,3663675,910023,82926,827097,1370053,1370052,1,4152160,3268751,883409,0,0,0,0,0,0,4152160,3268751,883409,0,0,0,0,0,0
621.wrf_s-575B.champsimtrace.txt,1.893,200000001,105643614,02 hr 47 min 29 sec,0,0,23187,15001,55636,9711,45925,0,0,0,101278,9665,91613,252044,113888,138156,804,186,618,94326,94326,0,24795709,24478552,317157,0,0,0,0,0,0,24795709,24478552,317157,0,0,0,0,0,0,6442913,6442700,213,0,0,0,0,0,0,6442913,6442700,213,0,0,0,0,0,0,28699641,28519319,180322,0,0,0,0,0,0,40658103,39985673,672430,2591,675,1916,11955871,11465679,490192,8294328,7566120,728208,0,0,0,0,0,0,8294328,7566120,728208,0,0,0,0,0,0,603952,548316,55636,0,0,0,131208,29930,101278,863173,705455,157718,1481,677,804,126532,126532,0,274383,271752,2631,0,0,0,0,0,0,274383,271752,2631,0,0,0,0,0,0
