Benchmark,CPU0 Cycles,CPU0 IPC,CPU0 Instructions,CPU0 LLC Hit,CPU0 LLC Miss,CPU0 LLC Total Access,CPU1 Cycles,CPU1 IPC,CPU1 Instructions,CPU1 LLC Hit,CPU1 LLC Miss,CPU1 LLC Total Access,LLC Blocked Read,LLC Blocked Write,LLC Freed,LLC Invincible Activated,Simulation Time
605.mcf_s-665B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,338295491,0.5912,200000003,2611527,1781090,4392617,338802716,0.5903,200000000,2607026,1781593,4388619,35,2,319786,518337,07 hr 18 min 25 sec
607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,420556241,0.4756,200000001,988777,1599130,2587907,1351804201,0.148,200000000,7307901,9498194,16806095,964,57,1255469,2091354,22 hr 27 min 57 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,698778288,0.2862,200000002,2317473,2110832,4428305,170137864,1.176,200000003,1252645,1573031,2825676,40645,429,654880,1144175,12 hr 40 min 06 sec
605.mcf_s-665B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,1981948361,0.1009,200000004,882276,3633772,4516048,999157448,0.2002,200000000,7206114,9568613,16774727,343002,83931,1859925,3110227,08 hr 30 min 53 sec
605.mcf_s-665B.champsimtrace_625.x264_s-18B.champsimtrace.txt,363044813,0.5509,200000001,2696412,1670782,4367194,69807780,2.865,200000003,140627,206362,346989,56917,630,328533,468490,09 hr 21 min 22 sec
605.mcf_s-665B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,321773552,0.6216,200000000,2774327,1631639,4405966,53771228,3.719,200000003,144433,23519,167952,120993,5001,287264,364738,08 hr 47 min 42 sec
605.mcf_s-665B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,306205017,0.6532,200000000,2830987,1527484,4358471,125075017,1.599,200000004,0,9429,9429,14235,635,273315,342792,08 hr 17 min 47 sec
605.mcf_s-665B.champsimtrace_654.roms_s-842B.champsimtrace.txt,379564372,0.5269,200000000,2714873,1694930,4409803,146548471,1.365,200000004,180,38837,39017,76365,1632,343855,493479,10 hr 43 min 37 sec
607.cactuBSSN_s-2421B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,168849440,1.184,200000002,1175799,1568509,2744308,702906664,0.2845,200000001,2262241,2121130,4383371,27839,357,659170,1153501,13 hr 41 min 54 sec
607.cactuBSSN_s-2421B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,234163904,0.8541,200000001,1323852,1570443,2894295,233973515,0.8548,200000004,1311537,1569670,2881207,7,0,221087,403934,06 hr 44 min 17 sec
607.cactuBSSN_s-2421B.champsimtrace_625.x264_s-18B.champsimtrace.txt,171837946,1.164,200000000,1210524,1580154,2790678,94802298,2.11,200000002,133268,244314,377582,40324,625,161023,280205,06 hr 02 min 18 sec
607.cactuBSSN_s-2421B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,162152019,1.233,200000002,1117485,1616810,2734295,81479916,2.455,200000001,1,50215,50216,58778,2247,150909,244389,06 hr 03 min 44 sec
607.cactuBSSN_s-2421B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,155809131,1.284,200000004,1187039,1571899,2758938,132415674,1.51,200000003,0,13307,13307,12158,581,144743,233490,05 hr 26 min 26 sec
607.cactuBSSN_s-2421B.champsimtrace_654.roms_s-842B.champsimtrace.txt,156659875,1.277,200000002,1250259,1582116,2832375,157629754,1.269,200000003,95,38301,38396,28099,920,146585,237339,05 hr 25 min 20 sec
619.lbm_s-4268B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,1000541164,0.1999,200000000,7223110,9572792,16795902,2002509430,0.09987,200000000,805275,3666473,4471748,356041,87282,1878411,3139603,10 hr 08 min 04 sec
619.lbm_s-4268B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,1353231786,0.1478,200000002,7297775,9498021,16795796,422851150,0.473,200000002,1044898,1602095,2646993,769,41,1256667,2093426,21 hr 41 min 10 sec
619.lbm_s-4268B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,1828328124,0.1094,200000000,7654596,9506552,17161148,1830413828,0.1093,200000002,7650719,9510793,17161512,1872,144,1705641,2786978,08 hr 04 min 55 sec
619.lbm_s-4268B.champsimtrace_654.roms_s-842B.champsimtrace.txt,984070003,0.2032,200000000,7291509,9594475,16885984,183951672,1.087,200000003,26,38427,38453,159983,74772,919894,1533566,16 hr 28 min 54 sec
619.lbm_s-4268B.champsimtrace_625.x264_s-18B.champsimtrace.txt,995430743,0.2009,200000001,7206639,9558824,16765463,213039544,0.9388,200000002,73719,365473,439192,244723,48511,930929,1548845,17 hr 01 min 52 sec
625.x264_s-18B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,95153927,2.102,200000000,130549,244421,374970,172287882,1.161,200000002,1171686,1578746,2750432,35023,581,161598,280591,05 hr 30 min 18 sec
619.lbm_s-4268B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,905244669,0.2209,200000000,7733657,9522484,17256141,142732718,1.401,200000002,0,13650,13650,25839,25040,842432,1385478,17 hr 05 min 16 sec
619.lbm_s-4268B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,931325941,0.2147,200000000,7210166,9650155,16860321,262752124,0.7612,200000003,12717,148754,161471,113320,110053,873706,1440599,15 hr 38 min 42 sec
625.x264_s-18B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,69663492,2.871,200000000,140030,205801,345831,363229316,0.5506,200000000,2699308,1672727,4372035,57573,726,329050,469153,09 hr 39 min 15 sec
625.x264_s-18B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,214215795,0.9336,200000003,72845,368021,440866,993628233,0.2013,200000002,7199941,9561597,16761538,254374,50857,929117,1547025,17 hr 08 min 42 sec
625.x264_s-18B.champsimtrace_625.x264_s-18B.champsimtrace.txt,76769611,2.605,200000002,98031,215702,313733,76812795,2.604,200000001,98550,215380,313930,579,4,65818,88903,05 hr 42 min 19 sec
625.x264_s-18B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,68865385,2.904,200000001,118803,194030,312833,52325744,3.822,200000000,37,12553,12590,5684,490,52514,62909,06 hr 32 min 19 sec
625.x264_s-18B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,68408013,2.924,200000003,119412,190297,309709,125655522,1.592,200000002,0,8055,8055,6217,349,99841,122027,08 hr 09 min 46 sec
625.x264_s-18B.champsimtrace_654.roms_s-842B.champsimtrace.txt,68426212,2.923,200000001,118396,190871,309267,147458629,1.356,200000000,1224,35908,37132,19718,568,118288,145339,08 hr 46 min 12 sec
638.imagick_s-10316B.champsimtrace_605.mcf_s-665B.champsimtrace.txt,53799327,3.718,200000003,267,23233,23500,316608091,0.6317,200000000,2787332,1578555,4365887,52806,2360,283231,361920,10 hr 14 min 17 sec
638.imagick_s-10316B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,83082300,2.407,200000000,9270,53171,62441,160702340,1.245,200000003,1109265,1609511,2718776,53413,2412,149553,243760,05 hr 30 min 32 sec
638.imagick_s-10316B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,262740157,0.7612,200000004,18012,148576,166588,929195231,0.2152,200000000,7241694,9642988,16884682,110837,105873,871785,1438900,15 hr 34 min 31 sec
638.imagick_s-10316B.champsimtrace_625.x264_s-18B.champsimtrace.txt,52383610,3.818,200000000,305,12863,13168,68940582,2.901,200000002,117495,194128,311623,5793,442,52371,62681,06 hr 03 min 36 sec
638.imagick_s-10316B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,51788020,3.862,200000002,28579,7811,36390,51788083,3.862,200000004,54577,7811,62388,0,0,0,0,07 hr 23 min 17 sec
