Benchmark,CPU0 Cycles,CPU0 IPC,CPU0 Instructions,CPU0 LLC Hit,CPU0 LLC Miss,CPU0 LLC Total Access,CPU1 Cycles,CPU1 IPC,CPU1 Instructions,CPU1 LLC Hit,CPU1 LLC Miss,CPU1 LLC Total Access,LLC Blocked Read,LLC Blocked Write,LLC Freed,LLC Invincible Activated,Simulation Time
607.cactuBSSN_s-2421B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,233944624,0.8549,200000000,1294418,1570409,2864827,234152105,0.8541,200000003,1286800,1570331,2857131,0,0,220570,403564,07 hr 13 min 48 sec
619.lbm_s-4268B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,932226547,0.2145,200000002,7324677,9648236,16972913,263039680,0.7603,200000004,57479,147622,205101,114485,107148,874458,1436580,16 hr 18 min 47 sec
607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,420102076,0.4761,200000004,980666,1596963,2577629,1352385913,0.1479,200000000,7347450,9499063,16846513,1112,39,1256478,2086119,22 hr 25 min 48 sec
607.cactuBSSN_s-2421B.champsimtrace_625.x264_s-18B.champsimtrace.txt,171752904,1.164,200000004,1191300,1579207,2770507,94021508,2.127,200000000,137034,242002,379036,39638,608,161123,280191,07 hr 04 min 00 sec
654.roms_s-842B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,145455624,1.375,200000000,9263,20849,30112,124578162,1.605,200000002,0,156,156,87,0,1516,1971,12 hr 42 min 46 sec
607.cactuBSSN_s-2421B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,160942685,1.243,200000000,986557,1608728,2595285,82224279,2.432,200000003,1,51243,51244,51443,2306,149641,243694,06 hr 21 min 08 sec
607.cactuBSSN_s-2421B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,155852028,1.283,200000003,1237922,1572128,2810050,132430199,1.51,200000001,0,14047,14047,12951,567,145030,234425,05 hr 52 min 44 sec
607.cactuBSSN_s-2421B.champsimtrace_654.roms_s-842B.champsimtrace.txt,156874692,1.275,200000003,1193614,1583016,2776630,157860667,1.267,200000001,86,37990,38076,28492,912,146700,237414,05 hr 47 min 40 sec
619.lbm_s-4268B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,1353291718,0.1478,200000000,7369023,9499455,16868478,422911615,0.4729,200000004,1006547,1601132,2607679,1225,72,1257550,2086870,21 hr 57 min 31 sec
619.lbm_s-4268B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,1823036803,0.1097,200000001,7635352,9505208,17140560,1826455443,0.1095,200000001,7715307,9512391,17227698,2423,171,1701674,2769188,02 hr 48 min 54 sec
619.lbm_s-4268B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,904955675,0.221,200000000,7844194,9522535,17366729,144200394,1.387,200000001,0,15290,15290,27766,24611,841819,1379788,16 hr 53 min 22 sec
619.lbm_s-4268B.champsimtrace_654.roms_s-842B.champsimtrace.txt,987700037,0.2025,200000000,7361826,9598419,16960245,184192367,1.086,200000000,59,38822,38881,160465,76423,923537,1534479,16 hr 54 min 37 sec
625.x264_s-18B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace.txt,95050133,2.104,200000003,132711,244162,376873,172369029,1.16,200000004,1221595,1578006,2799601,33814,578,161487,280557,06 hr 36 min 38 sec
625.x264_s-18B.champsimtrace_625.x264_s-18B.champsimtrace.txt,76903899,2.601,200000003,101737,214584,316321,76941709,2.599,200000001,99075,216273,315348,11,1,65588,88601,06 hr 34 min 02 sec
625.x264_s-18B.champsimtrace_619.lbm_s-4268B.champsimtrace.txt,209591492,0.9542,200000001,75504,360485,435989,993111316,0.2014,200000000,7279132,9560972,16840104,250004,49464,929160,1541735,17 hr 17 min 50 sec
625.x264_s-18B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,68933341,2.901,200000001,117660,193502,311162,52331910,3.822,200000003,31,12726,12757,5266,460,52308,62708,07 hr 59 min 07 sec
625.x264_s-18B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,68537271,2.918,200000000,119264,190235,309499,125950532,1.588,200000002,0,8771,8771,7077,346,99648,121879,08 hr 58 min 22 sec
625.x264_s-18B.champsimtrace_654.roms_s-842B.champsimtrace.txt,68586521,2.916,200000001,118783,191158,309941,147738071,1.354,200000001,1438,35821,37259,19767,517,118812,145913,08 hr 54 min 14 sec
