Benchmark,CPU0 Cycles,CPU0 IPC,CPU0 Instructions,CPU0 LLC Hit,CPU0 LLC Miss,CPU0 LLC Total Access,CPU1 Cycles,CPU1 IPC,CPU1 Instructions,CPU1 LLC Hit,CPU1 LLC Miss,CPU1 LLC Total Access,CPU2 Cycles,CPU2 IPC,CPU2 Instructions,CPU2 LLC Hit,CPU2 LLC Miss,CPU2 LLC Total Access,CPU3 Cycles,CPU3 IPC,CPU3 Instructions,CPU3 LLC Hit,CPU3 LLC Miss,CPU3 LLC Total Access,LLC Blocked Read,LLC Blocked Write,LLC Freed,LLC Invincible Activated,Simulation Time
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace_625.x264_s-18B.champsimtrace.txt,2980491231,0.0671,200000003,1115025,3394707,4509732,532998734,0.3752,200000001,977064,1639781,2616845,1464927574,0.1365,200000000,7126325,9687746,16814071,239752310,0.8342,200000003,136097,321219,457316,2117233,285489,2777828,4693505,15 hr 53 min 33 sec
605.mcf_s-665B.champsimtrace_619.lbm_s-4268B.champsimtrace_625.x264_s-18B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,1862750241,0.1074,200000000,2060528,2374934,4435462,1053441504,0.1899,200000001,7132425,9656974,16789399,165800423,1.206,200000000,164045,283060,447105,136065551,1.47,200000001,0,8835,8835,1022935,210184,1747579,2936947,21 hr 49 min 49 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,2763153001,0.07238,200000004,1309087,3182714,4491801,498414020,0.4013,200000004,954024,1631350,2585374,1402245801,0.1426,200000002,7087665,9725200,16812865,257929163,0.7754,200000003,91472,86278,177750,1245833,337484,2574609,4335295,09 hr 05 min 38 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,2694519567,0.07422,200000001,1414371,3021625,4435996,467956037,0.4274,200000000,1002965,1606010,2608975,1407268061,0.1421,200000000,7186859,9611682,16798541,140296069,1.426,200000000,0,8562,8562,783398,162663,2508858,4218117,11 hr 47 min 15 sec
607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace_638.imagick_s-10316B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,440560084,0.454,200000004,973227,1594475,2567702,1358556714,0.1472,200000001,7197496,9632954,16830450,208386041,0.9598,200000001,5946,64263,70209,139818763,1.43,200000000,0,8444,8444,172806,118539,1264242,2108979,07 hr 29 min 03 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_619.lbm_s-4268B.champsimtrace_654.roms_s-842B.champsimtrace.txt,3205588394,0.06239,200000000,961292,3598284,4559576,505679582,0.3955,200000000,985783,1625198,2610981,1479922593,0.1351,200000000,7116045,9702426,16818471,198907685,1.005,200000002,54,34922,34976,1800374,313108,2989197,5073216,01 hr 13 min 24 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_625.x264_s-18B.champsimtrace_638.imagick_s-10316B.champsimtrace.txt,750025783,0.2667,200000000,2516488,1900581,4417069,195813848,1.021,200000004,1064326,1606631,2670957,95416690,2.096,200000002,146212,239813,386025,78361868,2.552,200000003,9,33237,33246,555894,27271,703695,1252080,03 hr 23 min 55 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_625.x264_s-18B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,734281394,0.2724,200000002,2519269,1855870,4375139,190555742,1.05,200000004,1214716,1586212,2800928,93648873,2.136,200000000,145139,235719,380858,130955544,1.527,200000002,0,9735,9735,389604,11800,688318,1223252,02 hr 30 min 39 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_625.x264_s-18B.champsimtrace_654.roms_s-842B.champsimtrace.txt,927372357,0.2157,200000000,2356696,2058239,4414935,192376583,1.04,200000004,1072848,1592916,2665764,94754728,2.111,200000002,147900,237635,385535,160667064,1.245,200000000,117,31305,31422,881984,38318,871049,1571172,13 hr 19 min 26 sec
605.mcf_s-665B.champsimtrace_607.cactuBSSN_s-2421B.champsimtrace_638.imagick_s-10316B.champsimtrace_648.exchange2_s-1699B.champsimtrace.txt,655136049,0.3053,200000000,2587498,1790181,4377679,172005513,1.163,200000004,1136969,1594798,2731767,73574457,2.718,200000000,18917,29097,48014,129163131,1.548,200000000,0,8583,8583,201063,14110,612303,1055791,23 hr 02 min 11 sec
